2023-07-07T04:26:09.578-0400 DEBUG Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@4fce136b
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@4aa83f4f
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@4aa83f4f
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@43b6123e
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@43b6123e
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@260e86a1
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@260e86a1
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@19648c40
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@19648c40
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@12bd8a64
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@61e94def
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@3300f4fd
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@3300f4fd
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@ebb6851
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@ebb6851
2023-07-07T04:26:09.579-0400 DEBUG Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@70ab2d48
2023-07-07T04:26:09.580-0400 DEBUG Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@5b068087
